place_id,place_name,city,state,match_score,reason
"place-roam-around-the-shopping-markets-delhi","Roam around the Shopping Markets","Delhi","Delhi",-100,"Low confidence score"
"place-safdarjung-tomb-delhi","Safdarjung Tomb","Delhi","Delhi",-100,"Low confidence score"
"place-savour-the-food-of-khan-market-delhi","Savour the food of Khan Market","Delhi","Delhi",-100,"Low confidence score"
"place-shop-eat-at-dilli-haat-delhi","Shop & Eat at Dilli Haat","Delhi","Delhi",-100,"Low confidence score"
"place-stroll-through-pragati-maidan-delhi","Stroll through Pragati Maidan","Delhi","Delhi",-100,"Low confidence score"
"place-sulabh-international-museum-of-toilets-delhi","Sulabh International Museum of Toilets","Delhi","Delhi",-100,"Low confidence score"
"place-sunder-nursery-delhi","Sunder Nursery","Delhi","Delhi",-100,"Low confidence score"
"place-teen-murti-bhavan-nehru-house-and-nehru-planetarium-delhi","Teen Murti Bhavan (Nehru House) and Nehru Planetarium","Delhi","Delhi",-100,"Low confidence score"
"place-tour-the-national-zoological-park-delhi","Tour the National Zoological Park","Delhi","Delhi",-100,"Low confidence score"
"place-tughlaqabad-fort-delhi","Tughlaqabad Fort","Delhi","Delhi",-100,"Low confidence score"
"place-waste-to-wonder-park-delhi","Waste to Wonder Park","Delhi","Delhi",-100,"Low confidence score"
"place-adventures-of-anjuna-beach-goa","Adventures of Anjuna Beach","Goa","Goa",-100,"Low confidence score"
"place-aguada-beach-goa","Aguada Beach","Goa","Goa",-100,"Low confidence score"
"place-anjuna-flea-market-goa","Anjuna Flea Market","Goa","Goa",-100,"Low confidence score"
"place-arambol-beach-goa","Arambol Beach","Goa","Goa",-100,"Low confidence score"
"place-arvalem-waterfalls-goa","Arvalem Waterfalls","Goa","Goa",-100,"Low confidence score"
"place-basilica-of-bom-jesus-goa","Basilica of Bom Jesus","Goa","Goa",-100,"Low confidence score"
"place-behold-to-dudhsagar-waterfalls-goa","Behold to Dudhsagar Waterfalls","Goa","Goa",-100,"Low confidence score"
"place-betalbatim-beach-goa","Betalbatim Beach","Goa","Goa",-100,"Low confidence score"
"place-bhagwan-mahavir-sanctuary-goa","Bhagwan Mahavir Sanctuary","Goa","Goa",-100,"Low confidence score"
